label,run,balanced_windows
controlled_delay,validated_network_campaign_20260726_205914,11
controlled_delay,validated_network_campaign_20260729_130755,13
controlled_delay,validated_network_campaign_20260730_110305,4
controlled_delay,validated_network_campaign_20260801_145839,5
controlled_delay,validated_network_campaign_20260801_154150,4
controlled_delay,validated_network_campaign_20260804_113142,11
controlled_jitter,validated_network_campaign_20260726_205914,8
controlled_jitter,validated_network_campaign_20260730_110305,12
controlled_jitter,validated_network_campaign_20260801_145839,15
controlled_jitter,validated_network_campaign_20260801_154150,13
far_ue_poor_radio,tcp-paper-20260804_223112,13
far_ue_poor_radio,tcp-paper-20260805_222357,11
far_ue_poor_radio,tcp-paper-20260805_225100,12
far_ue_poor_radio,tcp-paper-20260805_233637,12
radio_interference,tcp-paper-20260730_231543,8
radio_interference,tcp-paper-20260731_143207,8
radio_interference,tcp-paper-20260731_145951,8
radio_interference,tcp-paper-20260731_152703,8
radio_interference,tcp-paper-20260803_212915,8
radio_interference,tcp-paper-20260803_215657,8
tunnel_bandwidth_limit,validated_network_campaign_20260726_205914,5
tunnel_bandwidth_limit,validated_network_campaign_20260730_145323,11
tunnel_bandwidth_limit,validated_network_campaign_20260804_205849,12
tunnel_bandwidth_limit,validated_network_campaign_20260805_203748,9
tunnel_bandwidth_limit,validated_network_campaign_20260805_211122,11
tunnel_packet_loss,validated_network_campaign_20260726_205914,12
tunnel_packet_loss,validated_network_campaign_20260730_113348,5
tunnel_packet_loss,validated_network_campaign_20260730_115513,10
tunnel_packet_loss,validated_network_campaign_20260804_021226,10
tunnel_packet_loss,validated_network_campaign_20260804_022848,11
upf_stress,tcp-paper-20260803_154344,16
upf_stress,tcp-paper-20260803_205150,16
upf_stress,tcp-paper-20260804_013813,16
