stack,label,run,windows
oai_oai,controlled_delay,validated_network_campaign_20260811_150443,4
oai_oai,controlled_jitter,validated_network_campaign_20260811_233334,4
oai_oai,radio_interference,tcp-paper-20260813_005841,4
oai_oai,tunnel_bandwidth_limit,validated_network_campaign_20260812_223228,2
oai_oai,tunnel_bandwidth_limit,validated_network_campaign_20260812_230617,2
oai_oai,tunnel_packet_loss,validated_network_campaign_20260812_155830,4
oai_oai,upf_stress,tcp-paper-20260812_231940,4
srsran_open5gs,controlled_delay,validated_network_campaign_20260813_232036,6
srsran_open5gs,controlled_jitter,validated_network_campaign_20260813_233126,6
srsran_open5gs,radio_interference,tcp-paper-20260814_150525,4
srsran_open5gs,radio_interference,tcp-paper-20260814_154252,2
srsran_open5gs,tunnel_bandwidth_limit,validated_network_campaign_20260813_235321,6
srsran_open5gs,tunnel_packet_loss,validated_network_campaign_20260813_234044,6
srsran_open5gs,upf_stress,tcp-paper-20260814_014358,6
