,precision,recall,f1-score,support
controlled_delay,0.7608695652173914,0.7291666666666666,0.7446808510638298,48.0
controlled_jitter,0.68,0.7083333333333334,0.6938775510204082,48.0
far_ue_poor_radio,0.9230769230769231,1.0,0.96,48.0
radio_interference,0.8958333333333334,0.8958333333333334,0.8958333333333334,48.0
tunnel_bandwidth_limit,0.8181818181818182,0.75,0.782608695652174,48.0
tunnel_packet_loss,0.8571428571428571,0.875,0.865979381443299,48.0
upf_stress,1.0,0.9791666666666666,0.9894736842105263,48.0
accuracy,0.8482142857142857,0.8482142857142857,0.8482142857142857,0.8482142857142857
macro avg,0.847872070993189,0.8482142857142858,0.8474933566747959,336.0
weighted avg,0.847872070993189,0.8482142857142857,0.8474933566747958,336.0
