run,test_samples,true_labels,rf_correct,rf_accuracy,rf_macro_f1,lr_correct,lr_accuracy,lr_macro_f1
tcp-paper-20260730_231543,8,radio_interference,8,1.0,1.0,6,0.75,0.42857142857142855
tcp-paper-20260731_143207,8,radio_interference,8,1.0,1.0,8,1.0,1.0
tcp-paper-20260731_145951,8,radio_interference,8,1.0,1.0,6,0.75,0.42857142857142855
tcp-paper-20260731_152703,8,radio_interference,8,1.0,1.0,7,0.875,0.4666666666666667
tcp-paper-20260803_154344,16,upf_stress,16,1.0,1.0,15,0.9375,0.4838709677419355
tcp-paper-20260803_205150,16,upf_stress,16,1.0,1.0,16,1.0,1.0
tcp-paper-20260803_212915,8,radio_interference,8,1.0,1.0,8,1.0,1.0
tcp-paper-20260803_215657,8,radio_interference,8,1.0,1.0,8,1.0,1.0
tcp-paper-20260804_013813,16,upf_stress,16,1.0,1.0,16,1.0,1.0
tcp-paper-20260804_223112,13,far_ue_poor_radio,13,1.0,1.0,13,1.0,1.0
tcp-paper-20260805_222357,11,far_ue_poor_radio,11,1.0,1.0,11,1.0,1.0
tcp-paper-20260805_225100,12,far_ue_poor_radio,12,1.0,1.0,12,1.0,1.0
tcp-paper-20260805_233637,12,far_ue_poor_radio,12,1.0,1.0,12,1.0,1.0
validated_network_campaign_20260726_205914,36,"controlled_delay,controlled_jitter,tunnel_bandwidth_limit,tunnel_packet_loss",32,0.8888888888888888,0.8944444444444445,34,0.9444444444444444,0.9306888763410502
validated_network_campaign_20260729_130755,13,controlled_delay,8,0.6153846153846154,0.25396825396825395,5,0.38461538461538464,0.1388888888888889
validated_network_campaign_20260730_110305,16,"controlled_delay,controlled_jitter",15,0.9375,0.6521739130434783,11,0.6875,0.48803827751196166
validated_network_campaign_20260730_113348,5,tunnel_packet_loss,4,0.8,0.4444444444444444,5,1.0,1.0
validated_network_campaign_20260730_115513,10,tunnel_packet_loss,10,1.0,1.0,10,1.0,1.0
validated_network_campaign_20260730_145323,11,tunnel_bandwidth_limit,9,0.8181818181818182,0.45,8,0.7272727272727273,0.2807017543859649
validated_network_campaign_20260801_145839,20,"controlled_delay,controlled_jitter",20,1.0,1.0,16,0.8,0.5598290598290598
validated_network_campaign_20260801_154150,17,"controlled_delay,controlled_jitter",17,1.0,1.0,14,0.8235294117647058,0.7984189723320159
validated_network_campaign_20260804_021226,10,tunnel_packet_loss,7,0.7,0.4117647058823529,4,0.4,0.19047619047619047
validated_network_campaign_20260804_022848,11,tunnel_packet_loss,11,1.0,1.0,11,1.0,1.0
validated_network_campaign_20260804_113142,11,controlled_delay,11,1.0,1.0,6,0.5454545454545454,0.17647058823529413
validated_network_campaign_20260804_205849,12,tunnel_bandwidth_limit,11,0.9166666666666666,0.4782608695652174,9,0.75,0.2857142857142857
validated_network_campaign_20260805_203748,9,tunnel_bandwidth_limit,9,1.0,1.0,5,0.5555555555555556,0.14285714285714285
validated_network_campaign_20260805_211122,11,tunnel_bandwidth_limit,11,1.0,1.0,9,0.8181818181818182,0.45
