,precision,recall,f1-score,support
controlled_delay,1.0,0.8125,0.896551724137931,48.0
controlled_jitter,0.9215686274509803,0.9791666666666666,0.9494949494949495,48.0
far_ue_poor_radio,0.9795918367346939,1.0,0.9896907216494846,48.0
radio_interference,0.9056603773584906,1.0,0.9504950495049505,48.0
tunnel_bandwidth_limit,0.9183673469387755,0.9375,0.9278350515463918,48.0
tunnel_packet_loss,0.9361702127659575,0.9166666666666666,0.9263157894736842,48.0
upf_stress,1.0,1.0,1.0,48.0
accuracy,0.9494047619047619,0.9494047619047619,0.9494047619047619,0.9494047619047619
macro avg,0.9516226287498425,0.9494047619047619,0.9486261836867703,336.0
weighted avg,0.9516226287498426,0.9494047619047619,0.9486261836867701,336.0
